Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Blazias,2022-03-26 19:47:59,00:00:05,Autoplayed: user action: None; ,Batch 3 Trailer,TRAILER,Apple iPhone XR,00:00:06,00:00:06,US (United States)
Blazias,2022-03-26 19:47:47,00:00:05,Autoplayed: user action: None; ,Pokémon Journeys: The Series: Part 1_hook_primary_16x9,HOOK,Apple iPhone XR,00:00:06,00:00:06,US (United States)
Blazias,2022-02-03 03:39:31,00:00:03,,Pokémon Master Journeys: The Series: Part 2: Thrash of the Titans! (Episode 17),,Chrome PC (Cadmium),00:00:03,00:00:03,US (United States)
Blazias,2022-02-03 03:20:50,00:18:30,,Pokémon Master Journeys: The Series: Part 2: A Midsummer Night's Light! (Episode 27),,Chrome PC (Cadmium),00:21:05,00:21:05,US (United States)
Blazias,2022-02-03 03:03:44,00:16:50,Autoplayed: user action: None; ,Pokémon Master Journeys: The Series: Part 2: Nightfall? Nightmares! (Episode 26),,Chrome PC (Cadmium),00:21:12,00:21:12,US (United States)
Blazias,2022-02-03 02:34:39,00:18:22,,Pokémon Master Journeys: The Series: Part 2: Grabbing the Brass Ring! (Episode 25),,Chrome PC (Cadmium),00:21:05,00:21:05,US (United States)
Blazias,2022-02-03 01:46:19,00:01:51,Autoplayed: user action: None; ,Pokémon Master Journeys: The Series: Part 2: Grabbing the Brass Ring! (Episode 25),,Chrome PC (Cadmium),00:02:53,Not latest view,US (United States)
Blazias,2022-02-03 01:43:31,00:02:40,,Pokémon Master Journeys: The Series: Part 2: Everybody's Doing the Underground Shuffle! (Episode 24),,Chrome PC (Cadmium),00:21:05,00:21:05,US (United States)
Blazias,2022-02-03 00:55:40,00:10:06,,Pokémon Master Journeys: The Series: Part 2: Everybody's Doing the Underground Shuffle! (Episode 24),,Chrome PC (Cadmium),00:17:28,Not latest view,US (United States)
Blazias,2022-02-03 00:13:05,00:05:39,,Pokémon Master Journeys: The Series: Part 2: Everybody's Doing the Underground Shuffle! (Episode 24),,Chrome PC (Cadmium),00:07:12,Not latest view,US (United States)
Blazias,2022-02-02 23:53:17,00:19:47,,Pokémon Master Journeys: The Series: Part 2: Leaping Toward the Dream! (Episode 23),,Chrome PC (Cadmium),00:20:53,00:20:53,US (United States)
Blazias,2022-02-02 23:38:04,00:13:39,,Pokémon Master Journeys: The Series: Part 2: Take My Thief! Please! (Episode 22),,Chrome PC (Cadmium),00:21:12,00:21:12,US (United States)
Blazias,2022-02-02 23:27:52,00:09:38,,Pokémon Master Journeys: The Series: Part 2: Errand Endurance! (Episode 21),,Chrome PC (Cadmium),00:21:10,00:21:10,US (United States)
Blazias,2022-02-02 23:04:24,00:19:54,,Pokémon Master Journeys: The Series: Part 2: Advice to Goh! (Episode 20),,Chrome PC (Cadmium),00:21:06,00:21:06,US (United States)
Blazias,2022-02-02 22:47:29,00:16:40,,Pokémon Master Journeys: The Series: Part 2: Sleuths for Truth! (Episode 19),,Chrome PC (Cadmium),00:21:09,00:21:09,US (United States)
Blazias,2022-02-02 22:22:50,00:19:50,,Pokémon Master Journeys: The Series: Part 2: Under Color of Darkness! (Episode 18),,Chrome PC (Cadmium),00:21:06,00:21:06,US (United States)
Blazias,2022-02-02 21:44:45,00:20:16,,Pokémon Master Journeys: The Series: Part 2: Thrash of the Titans! (Episode 17),,Chrome PC (Cadmium),00:21:09,Not latest view,US (United States)
